127.0.0.1 - - [19/Sep/2018:11:29:50 +0000] "GET /2018/09/19/hello-world/ HTTP/1.0" 200 57611 "http://test-website.local/2018/09/19/hello-world/" "WordPress/4.9.8; http://test-website.local"
127.0.0.1 - - [19/Sep/2018:11:29:53 +0000] "POST /wp-cron.php?doing_wp_cron=1537356591.6713199615478515625000 HTTP/1.0" 499 0 "http://test-website.local/wp-cron.php?doing_wp_cron=1537356591.6713199615478515625000" "WordPress/4.9.8; http://test-website.local"
127.0.0.1 - - [19/Sep/2018:12:28:47 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:28:48 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:00 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://test-website.local/wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:05 +0000] "GET /wp-admin/ HTTP/1.0" 200 58126 "http://test-website.local/wp-login.php?redirect_to=http%3A%2F%2Ftest-website.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:05 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.8 HTTP/1.0" 200 109068 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:07 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=4.9.8 HTTP/1.0" 200 337409 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:07 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=hoverIntent,common,admin-bar,wp-ajax-response,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,jquery-ui-core,jquery-&load%5B%5D=ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,underscore,wp-util,wp-a11y,dashboard,thickbox,plugin-install,updates,shortc&load%5B%5D=ode,media-upload,svg-painter,heartbeat,wp-auth-check,wplink,jquery-ui-position,jquery-ui-menu,jquery-ui-autocomplete&ver=4.9.8 HTTP/1.0" 200 245287 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:08 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:08 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=7070c8fdc5&1537360147955 HTTP/1.0" 200 1114 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:09 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&_ajax_nonce=7070c8fdc5&1537360148754 HTTP/1.0" 200 572 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:09 +0000] "POST /wp-cron.php?doing_wp_cron=1537360148.8071839809417724609375 HTTP/1.0" 200 0 "http://test-website.local/wp-cron.php?doing_wp_cron=1537360148.8071839809417724609375" "WordPress/4.9.8; http://test-website.local"
127.0.0.1 - - [19/Sep/2018:12:29:09 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=7070c8fdc5&1537360148925 HTTP/1.0" 200 1 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:10 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 1407 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:13 +0000] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 808 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:14 +0000] "GET /wp-admin/themes.php HTTP/1.0" 200 42871 "http://test-website.local/wp-admin/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:14 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.8 HTTP/1.0" 200 41526 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:14 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,thickbox,underscore,backbone,wp-util,wp-backbone,wp-a11y,customize-base,theme,updates,svg-painter,h&load%5B%5D=eartbeat,wp-auth-check&ver=4.9.8 HTTP/1.0" 200 51130 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:14 +0000] "GET /wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=4.9.8 HTTP/1.0" 200 96157 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:15 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:21 +0000] "GET /wp-admin/theme-install.php HTTP/1.0" 200 39801 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:22 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,underscore,backbone,wp-util,wp-backbone,wp-a11y,customize-base,theme,updates,svg-painter,heartbeat,&load%5B%5D=wp-auth-check&ver=4.9.8 HTTP/1.0" 200 47078 "http://test-website.local/wp-admin/theme-install.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:22 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:23 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 24518 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:34 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/theme-install.php?search=news" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:29:35 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 183176 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:30:23 +0000] "POST /wp-cron.php?doing_wp_cron=1537360222.6262431144714355468750 HTTP/1.0" 200 0 "http://test-website.local/wp-cron.php?doing_wp_cron=1537360222.6262431144714355468750" "WordPress/4.9.8; http://test-website.local"
127.0.0.1 - - [19/Sep/2018:12:30:23 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/theme-install.php?search=news" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:31:22 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/theme-install.php?search=news" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:32:23 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/theme-install.php?search=news" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:32:29 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/theme-install.php?search=blog" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:32:31 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 174332 "http://test-website.local/wp-admin/theme-install.php?search=news" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:33:12 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 330 "http://test-website.local/wp-admin/theme-install.php?search=blog" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:33:20 +0000] "GET /wp-admin/themes.php HTTP/1.0" 200 44931 "http://test-website.local/wp-admin/theme-install.php?search=blog" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:33:22 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:33:25 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/themes.php?theme=bloggist" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:33:28 +0000] "GET /wp-admin/themes.php?action=activate&stylesheet=bloggist&_wpnonce=06ec28be71 HTTP/1.0" 302 0 "http://test-website.local/wp-admin/themes.php?theme=bloggist" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:33:29 +0000] "GET /wp-admin/themes.php?activated=true HTTP/1.0" 200 45661 "http://test-website.local/wp-admin/themes.php?theme=bloggist" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:33:29 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:34:30 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:36:32 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:38:39 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:40:35 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:42:34 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:43:33 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:43:47 +0000] "GET / HTTP/1.0" 200 25790 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:43:47 +0000] "GET /wp-content/themes/bloggist/images/bg.png HTTP/1.0" 404 25194 "http://test-website.local/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:43:48 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:44:34 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:45:35 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:47:15 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/themes.php" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:47:21 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/themes.php?search=blog" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:47:39 +0000] "GET /wp-admin/theme-install.php HTTP/1.0" 200 40138 "http://test-website.local/wp-admin/themes.php?search=blog" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:47:40 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:47:41 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 24518 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:48:07 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/theme-install.php?theme=material-for-coders" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:48:40 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/theme-install.php?theme=material-for-coders" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:48:53 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:48:59 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:04 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:40 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:47 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:48 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:49 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:50 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:52 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:54 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 78 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:55 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 79 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
127.0.0.1 - - [19/Sep/2018:12:49:57 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 79 "http://test-website.local/wp-admin/theme-install.php?browse=featured" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"
